English,Russian
abuse,злоупотреблять
bacteria,бактерии
adoption,принятие
intelligent,умный
praise,хвалить
outer,внешний
nearby,"рядом, поблизости"
glance,взглянуть мельком
grip,схватить
profound,глубокий
trigger,курок
stuff,вещи
uncertainty,неопределенность
driving,вождение
enthusiasm,энтузиазм
complexity,сложность
excuse,извинение
cafe,кафе
survey,опрос
virtual,виртуальный
undermine,подорвать
unity,единство
chaos,хаос
commonly,обычно
endless,бесконечный
rhetoric,риторика
trait,черта
pension,пенсия
genuine,подлинный
sweat,пот
European,Европейский
innovation,инновации
no,нет
matter,иметь значение
currency,валюта
forty,сорок
lobby,лобби
theoretical,теоретический
bat,летучая мышь
makeup,"макияж, мириться"
pleasant,приятный
rebuild,восстановить
horrible,какой ужас
pad,прокладка
suspend,приостановить
relieve,облегчить
resume,продолжить
respectively,соответственно
promotion,продвижение
technological,технологический
galaxy,Галактика
altogether,вообще
apologize,принести извинения
research,исследовательская работа
infrastructure,инфраструктура
shuttle,шаттл
thumb,большой палец
questionnaire,опросник
sidewalk,тротуар
businessman,бизнесмен
weird,странный
radiation,излучение
format,формат
scare,напугать
bounce,подпрыгивать
doll,кукла
attraction,Привлечение
needle,иголка
Israeli,Израильтянин
lock,замок
counterpart,коллега
convey,передавать
compensation,компенсация
ship,судно
exclusive,эксклюзивный
twist,крутить
precise,точный
suspicion,подозрение
southeast,юго -восток
walking,ходьба
boost,способствовать росту
scatter,рассеянный
rebel,бунтарь
van,фургон
identical,идентичный
shame,стыд
blow,дуть
delicate,деликатный
Olympics,Олимпийские игры
wider,Шире
corruption,коррупция
hook,крюк
lieutenant,лейтенант
firmly,твердо
structural,структурный
pause,Пауза
invisible,невидимый
forehead,лоб
traveler,путешественница
meaningful,значимый
provided,при условии
colony,колония
signature,подпись
database,база данных
clerk,клерк
dedicate,посвящать
determination,решимость
signal,сигнал
anxious,тревожный
sum,сумма
frozen,заморожен
juror,присяжный
timing,время
punish,наказывать
crawl,ползти
conscious,сознательный
colonel,полковник
fitness,Фитнес
landing,посадка
doctrine,доктрина
belly,живот
pope,папа
thereby,тем самым
historically,исторически
playoff,плей-офф
poster,плакат
harder,Сильнее
acquisition,приобретение
rescue,спасать
departure,Вылет из
summary,резюме
wrong,неправильный
medium,средний
chronic,хронический
evil,зло
handsome,красивый
finish,финиш
hug,обнимать
wow,Вот это да
pursuit,преследование
residence,резиденция
loud,громкий
promising,многообещающий
disk,диск
doorway,дверной проем
diagnosis,диагноз
scout,разведчик
cancel,отменить
desire,желание
amid,среди
envelope,конверт
sooner,раньше
beam,луч
reluctant,вынужденный
spouse,супруг
fluid,жидкость
exit,выход
mild,незначительный
electrical,электрический
bite,кусать
bath,ванна
decent,приличный
ankle,лодыжка
transaction,сделка
reporting,составление отчетов
exhibit,выставка
pit,яма
practically,практически
oxygen,кислород
racism,расизм
fist,кулак
garbage,мусор
ban,запрет
guitar,гитара
expertise,опыт
parade,парад
exploration,исследование
carve,вырезать
realm,область
recipient,получатель
residential,Жилой
bias,предвзятость
sunlight,Солнечный лучик
lamp,фонарь
donor,донор
repair,ремонт
sharply,резко
hers,ее
guidance,руководство
diplomatic,дипломатический
classic,Классик
purple,пурпурный
princess,принцесса
candle,свеча
advocate,адвокат
generous,щедрый
strip,полоска
necessity,необходимость
tuck,пособие
debate,дебаты
statue,статуя
frame,Рамка
elevator,лифт
popularity,популярность
indicator,индикатор
entity,организация
interior,интерьер
limb,конечность
bold,смелый
hesitate,стесняться
magic,магия
starting,начинающий
diminish,уменьшить
inside,внутри
readily,легко
elegant,элегантный
engagement,помолвка
rage,ярость
destination,назначения
realistic,реалистично
intent,намерение
metaphor,метафора
automobile,автомобиль
productive,Продуктивный
endorse,одобрить
isolate,изолят
confess,признаваться
wilderness,пустыня
minimize,свести к минимуму
diagnose,Диагностика
happiness,счастье
spectrum,спектр
hint,намекать
eating,принимать пищу
tune,мелодия
volunteer,волонтер
abstract,Аннотация
revolutionary,революционный
gym,спортзал
addition,добавление
Russian,Русский
disappointed,расстроенный
particle,частица
repair,ремонт
dynamic,динамика
pump,насос
kiss,целовать
value,ценность
automatically,автоматически
overall,общий
dawn,рассвет
ruling,решение
mechanical,механический
feel,Чувствовать
vitamin,витамин
silly,глупый
handle,справиться
artificial,искусственный
outstanding,выдающийся
age,возраст
peel,чистить
rescue,спасать
oral,оральный
o'clock,Орт
undertake,предпринять
lonely,"Одинокий, уединенный"
servant,слуга
indigenous,местный
civic,гражданский
full-time,на постоянной основе
worry,волноваться
cooperate,сотрудничать
casual,повседневный
behavioral,поведенческий
shortage,нехватка
reception,прием
offering,предложение
huh,хм
credibility,доверие
chin,подбородок
physics,физика
vanish,исчезнуть
blend,смешивать
noon,полдень
precious,драгоценный
command,командование
wake,будить
flip,кувырок
scary,страшный
pizza,пицца
toilet,туалет
representative,представитель
silk,шелк
bid,делать ставку
gathering,встреча
softly,мягко
annually,ежегодно
hook,крюк
suffering,страдания
accuracy,точность
marine,морской
broker,маклер
hopefully,с надеждой
descend,спускаться
tide,прилив
trail,тащить
stumble,спотыкаться
verbal,вербальный
spring,весна
collector,коллекционер
judicial,судебный
burning,сжигание
inventory,инвентарь
fool,дурак
way,путь
loyalty,верность
performer,исполнитель
kit,Комплект
romance,роман
quantity,количество
alleged,утверждается
therapist,Терапевт
longtime,много времени
sink,раковина
sentiment,чувства
sodium,натрия
seal,печать
trailer,трейлер
spread,распространять
shared,общий
equity,беспристрастность
banking,банковское дело
ridiculous,нелепый
processing,обработка
please,пожалуйста
dilemma,дилемма
quest,квест
pillow,подушка
slice,ломтик
shock,шок
lately,в последнее время
laser,лазер
rigid,жесткий
ours,наш
prohibit,запретить
switch,выключатель
genius,гениальность
starter,стартер
stem,корень
primary,начальный
cart,тележка
trap,ловушка
Cuban,Кубинский
inmate,заключенный
sacrifice,жертва
officially,официально
slap,шлепок
credit,кредит
mysterious,таинственный
Arab,Арабский
specialize,специализироваться
fork,вилка
invitation,приглашение
sail,плыть
regulatory,регулирующий
cartoon,мультфильм
stiff,жесткий
courtroom,зал суда
import,импорт
tightly,плотно
flash,вспышка
equation,уравнение
treasure,сокровище
jaw,челюсть
scan,сканирование
condemn,осуждать
improved,улучшенный
pickup,подбирать
dignity,достоинство
inspiration,вдохновение
automatic,автоматический
merchant,торговец
Greek,Греческий
hostile,враждебный
extended,расширенный
homeland,Родина
gasoline,бензин
gravity,сила тяжести
defeat,поражение
near,около
thoroughly,тщательно
exchange,обмен
bow,лук
glory,слава
reserve,резерв
optimistic,оптимистичный
sergeant,сержант
casualty,жертва
concede,уступать
bloody,кровавый
barn,сарай
donate,пожертвовать
unite,объединить
pro,профиль
senior,старший
feedback,Обратная связь
grief,горе
spite,злобно
steep,отвесный
productivity,производительность
conceive,задуматься
tender,тендер
continent,континент
hardware,аппаратное обеспечение
equip,оборудовать
wagon,повозка
besides,Помимо
output,выход
withdrawal,вывод
elder,старейшина
cage,клетка
coastal,прибрежный
patience,терпение
shallow,мелкий
earthquake,землетрясение
voting,голосование
input,вход
canvas,холст
slide,горка
click,нажимать
sword,меч
mate,приятель
portfolio,портфолио
bug,ошибка
refrigerator,холодильник
escape,побег
heat,нагревать
northeast,к северо-востоку
seventh,седьмой
post,почта
combined,комбинированный
alien,инопланетянин
willingness,готовность
hidden,скрытый
accounting,бухгалтерский учет
sexually,сексуально
chop,нарезать
patrol,патруль
symbolic,символический
ruin,руина
rock,рок
drum,барабан
opposed,против
sheer,явный
ideological,идеологический
discourage,обескураживать
canal,канал
prior,прежний
haul,перевозка
protective,защитный
regard,внимание
conspiracy,заговор
steam,готовить на пару
embassy,посольство
tackle,снасти
tropical,тропический
instantly,немедленно
bubble,пузырь
calm,спокойствие
sheep,овец
rent,арендовать
accent,акцент
grasp,понять
modify,модифицировать
grin,ухмылка
toxic,токсичный
mixed,смешанный
magnitude,величина
afterward,впоследствии
root,корень
progressive,Прогрессивный
manipulate,манипулировать
vaccine,вакцина
monument,памятник
trace,след
verdict,вердикт
flexible,гибкий
declaration,декларация
costume,костюм
drawer,ящик стола
bless,благословить
rack,стойка
secure,безопасный
position,должность
deeper,Глубже
divorce,развод
neutral,нейтральный
fascinating,очаровательный
terrific,потрясающий
sympathy,сочувствие
draft,черновик
spectacular,изумительный
ounce,унция
rear,задний
inn,гостиница
collaboration,Сотрудничество
clip,клип
instruct,инструктировать
sock,носок
rider,наездник
revelation,откровение
object,объект
accomplishment,достижение
seal,печать
faint,слабый
ease,простота
spell,орфографии
gospel,Евангелие
whale,кит
theatre,театр
coordinator,координатор
talented,талантливый
alongside,рядом
cab,такси
isolation,изоляция
costly,дорогостоящий
tragic,трагический
loud,громкий
instinct,инстинкт
seat,сиденье
intimate,интимный
underlying,в основе
respect,уважать
influential,влиятельный
pastor,пастор
presumably,предположительно
cook,готовить пищу
skip,пропускать
eleven,одиннадцать
tens,десятки
whoever,Кто бы ни был
ancestor,предок
safely,безопасно
nominee,кандидат
exotic,экзотик
minimal,минимальный
uncertain,неопределенность
Persian,Персидский
parental,родительский
orchestra,оркестр
treasury,казначейство
tolerate,терпеть
gallon,галлон
thigh,бедро
fortunately,к счастью
ambitious,честолюбивый
actively,активно
flexibility,Гибкость
jar,банка
cocaine,кокаин
incredibly,невероятно
consequently,вследствие этого
documentary,документальный
charge,обвинение
insert,вставлять
ambition,амбиция
functional,функциональный
bankruptcy,банкротство
runner,бегун
execution,исполнение
crush,раздавить
buddy,приятель
workplace,рабочее место
skull,череп
cord,шнур
fixed,исправлено
equivalent,эквивалент
casino,казино
reliability,надежность
expected,ожидал
boil,кипятить
whip,хлыст
divine,божественный
proposition,предложение
census,перепись
correction,коррекция
jump,Прыжок
diary,дневник
nest,гнездо
statute,статут
exam,экзамен
metropolitan,столичный
star,звезда
nutrition,питание
breeze,ветер
illusion,иллюзия
anonymous,анонимный
coup,переворот
midst,середина
edit,редактировать
experienced,опытный
castle,замок
sort,Сортировать
exploit,эксплойт
jewelry,Ювелирные изделия
diabetes,диабет
translation,перевод
Dutch,Голландский
upset,расстройство
harm,вред
irony,ирония
associated,связанный
utilize,использовать
rabbit,кролик
soap,мыло
booth,стенд
minimum,минимум
immune,Иммун
gut,кишечник
appreciation,признательность
cast,В ролях
scramble,карабкаться
upstairs,вверх по лестнице
punch,ударить кулаком
gross,валовой
liability,обязанность
accessible,доступный
mechanic,механик
ass,жопа
aesthetic,эстетика
dessert,Десерт
waist,Талия
alike,одинаково
brave,Храбрый
loop,петля
passing,прохождение
partially,частично
statistical,статистический
correctly,правильно
pin,штырь
practitioner,практикующий
encouraging,обнадеживает
syndrome,синдром
tribal,племя
persist,сопротивляться
trash,мусор
teenage,подростка
self-esteem,самооценка
preliminary,предварительный
stay,остаться
sunset,закат солнца
harassment,домогательство
reportedly,по сообщениям
quote,цитировать
fever,жар
panic,паника
charter,чартер
outlook,Outlook
foster,взращивать
comprise,включать
known,известен
Thanksgiving,День Благодарения
short-term,в ближайщем будущем
shed,пролить
cooperative,кооператив
alley,переулок
subsidy,субсидия
secular,светский
aluminum,алюминий
cliff,утес
gram,грамм
outline,контур
mentally,умственно
invade,вторгаться
confrontation,конфронтация
sacrifice,жертва
dissolve,растворить
shy,застенчивый
coin,монета
speculation,спекуляция
creativity,креативность
custody,под стражей
interfere,вмешиваться
spoon,ложка
bee,пчела
rolling,прокатывание
interact,взаимодействовать
damn,проклятие
dam,плотина
unfair,несправедливый
someday,когда -нибудь
liquid,жидкость
disclose,раскрыть
mushroom,гриб
disabled,инвалид
counter,прилавок
catalog,каталог
gaze,посмотреть
publicity,реклама
compel,принуждать
cease,прекратить
ideal,идеал
decorate,украсить
surrounding,окружающий
exclusively,исключительно
bonus,бонус
unprecedented,беспрецедентный
oversee,надзор
touchdown,приземление
federation,Федерация
aggression,агрессия
behalf,от имени
well-known,хорошо известный
donation,пожертвование
desperately,отчаянно
reward,награда
high-tech,высокие технологии
cheat,изменять
audio,аудио
sensation,сенсация
entrepreneur,предприниматель
proclaim,провозглашать
supplier,поставщик
rival,соперник
reminder,напоминание
heal,лечить
case,кейс
beast,зверь
uncover,раскрыть
merit,цена
momentum,импульс
stimulate,стимулировать
rational,рациональный
columnist,обозреватель
pioneer,пионер
biology,биология
photography,Фотография
innovative,инновационный
purse,кошелек
franchise,франшиза
consent,согласие
outfit,одежда
eve,канун
spray,спрей
shove,засунуть
fisherman,Рыбак
sensitivity,чувствительность
courtesy,учтивость
stack,куча
pork,свинина
teammate,Товарищ по команде
instant,мгновенный
pulse,пульс
outsider,посторонний
pro,профиль
helmet,шлем
ladder,лестница
openly,открыто
fierce,яростный
bet,держать пари
required,требуется
shrink,"сокращаться, сжиматься"
cute,милый
dot,точка
weaken,ослабить
filter,фильтр
worldwide,Мировой
envision,предвидеть
videotape,видеозапись
partial,частичный
patent,патент
tray,лоток
jungle,джунгли
classify,классифицировать
specialty,специальность
nasty,противный
aisle,ряд
graph,график
wound,ранить
sexy,сексуальный
disturb,беспокоить
excessive,излишний
banker,банкир
aid,помогать
installation,монтаж
swimming,плавание
placement,размещение
attendance,посещаемость
informal,неофициальный
sack,мешок
flood,наводнение
eighth,восьмой
premise,предпосылка
grill,гриль
model,модель
dying,умирающий
colorful,красочный
hockey,хоккей
backyard,задний двор
collar,воротник
breathing,дыхание
logical,логичный
lightning,молния
dried,высушен
discount,скидка
sole,единственный
boast,хвастаться
tag,ярлык
sibling,брат или сестра
stove,печь
trainer,тренер
vertical,вертикальный
added,добавлен
marketplace,рынок
cure,излечивать
curiosity,любопытство
organizational,организационный
shrimp,креветка
inherit,наследовать
color,цвет
distract,отвлекать
isolated,изолирован
planner,планировщик
supposedly,предположительно
likewise,так же
monkey,обезьяна
toll,потери
embarrassed,смущенный
deliberately,умышленно
bicycle,велосипед
stance,позиция
orbit,орбита
hormone,гормон
depressed,подавлен
organism,организм
deploy,развертывать
strictly,строго
deem,пособие
eyebrow,бровь
legally,юридически
puzzle,головоломка
icon,значок
pat,похлопать
closest,ближайший
sneak,подкрасться
fleet,флот
conservation,сохранение
supportive,Поддерживающий
comparable,сопоставимо
texture,текстура
access,доступ
striking,поразительный
associate,ассоциирован
Christianity,христианство
dip,окунать
disappointment,разочарование
sleeve,рукав
socially,социально
wheat,пшеница
chunk,кусок
two-thirds,две трети
pile,куча
refuge,убежище
blank,пустой
unfold,развернуться
considerably,значительно
frontier,граница
faster,Быстрее
suspicious,подозрительный
conception,концепция
feather,пух Перо
elephant,слон
rain,дождь
cure,излечивать
near,около
intellectual,интеллектуал
textbook,Учебник
joke,шутить
glimpse,случайно заметить
inevitably,неизбежно
triumph,Триумф
plunge,погрузиться в себя
sphere,сфера
hunger,голод
density,плотность
cheer,радость
balanced,сбалансированный
protocol,протокол
part,часть
legislator,законодатель
auction,аукцион
equality,равенство
risky,рискованно
cemetery,кладбище
builder,строитель
awake,бодрствующий
retailer,ритейлер
debut,дебютный
tighten,затянуть
spare,запасной
compromise,компромисс
constraint,ограничение
compliance,согласие
sponsor,спонсор
emerging,появляется
this,это
elaborate,разрабатывать
atop,на вершине
chew,жевать
similarity,сходство
pencil,карандаш
calculation,расчет
tolerance,толерантность
astronomer,астроном
bulk,масса
arm,рука
interval,интервал
notebook,ноутбук
genre,жанр
likelihood,вероятность
liberal,либеральный
streak,полоса
rib,ребра
scent,запах
validity,срок действия
grin,ухмылка
steer,рулевой
intact,нетронутый
shark,акула
uh,Эм-м-м
programming,программирование
dumb,тупой
formerly,ранее
squad,отряд
comply,исполнять
debris,обломки
peasant,крестьянин
outlet,выход
chase,гнаться
neat,аккуратный
valid,действительный
kingdom,царство
solely,исключительно
eligible,имеющий право
regret,сожалеть
municipal,муниципальный
strain,напряжение
deposit,депозитный
transport,транспорт
dough,тесто
lid,крышка
voluntary,добровольный
journalism,журналистика
any,Любые
impulse,импульс
policeman,полицейский
objection,возражение
thrive,процветать
privately,в частном порядке
cling,цепляться
halfway,наполовину
unhappy,несчастный
rally,ралли
scratch,царапать
robot,робот
conversion,обращение
supermarket,супермаркет
blink,мигание
philosophical,философский
happily,К счастью
thread,нить
allegedly,якобы
ash,пепел
dynamics,динамика
denial,отрицание
riot,бунт
soar,парить
mentor,наставник
beard,борода
widow,вдова
offender,правонарушитель
landmark,достопримечательность
apart,отдельно
instant,мгновенный
routinely,обычно
butt,приклад
forbid,запрещать
bomb,бомбить
migration,миграция
carrot,морковь
harmony,гармония
downtown,центр города
brutal,жестокий
prevail,преобладать
weed,сорняк
exhaust,выхлоп
pasta,макароны
distinctive,отличительный
fraction,дробная часть
remark,примечание
emotionally,эмоционально
poke,пронзать
guarantee,гарантия
dancing,танцы
trouble,беда
freshman,новичок
suitable,подходящее
youngster,юноша
slavery,рабство
balloon,баллон
opt,Опт
crowded,переполненный
liver,печень
listener,слушатель
calm,спокойствие
ironically,по иронии судьбы
affirmative,утвердительный
commodity,товар
fur,шерсть
freely,свободно
light,легкий
removal,удаление
regard,внимание
round,круглый
goat,козел
shareholder,акционер
expedition,экспедиция
loyal,верный
conscience,совесть
fragile,хрупкий
calendar,календарь
mineral,минеральная
coming,приходящий
circle,круг
fare,транспортные расходы
blessing,благословение
liberation,освобождение
steak,стейк
liquid,жидкость
ecological,экологический
banana,банан
catch,ловить
steadily,неуклонно
blast,взрыв
nonprofit,некоммерческий
mobile,мобильный
straw,солома
projection,проекция
rubber,резина
overnight,с ночевкой
neighboring,соседний
enact,вступить в действие
favorable,благоприятный
severely,строго
demographic,демографический
terrain,местность
explicit,явный
integrated,интегрированный
terribly,ужасно
veteran,ветеран
level,уровень
sofa,диван
screw,винт
shield,щит
invention,изобретение
Iraqi,Иракский
perceived,воспринимается
leave,оставлять
cruel,жестокий
bomber,бомбардировщик
provoke,провоцировать
autonomy,автономия
publishing,издательский
retreat,спасаться бегством
theology,богословие
substantially,по существу
mansion,особняк
developmental,развитие
one-third,одна треть
transmit,передавать
contemplate,созерцать
authorize,разрешить
mathematics,математика
battle,боевой
old-fashioned,старомодный
lawmaker,законодатель
threshold,порог
radar,радар
seldom,редко
low,низкий
headache,Головная боль
rental,аренда
spy,шпион
patron,покровитель
driveway,подъездная дорога
till,пока
broadcast,транслировать
overwhelm,перегружен
coordinate,координировать
vendor,продавец
transport,транспорт
fragment,фрагмент
hammer,молоток
seminar,семинар
availability,доступность
peanut,арахис
fantastic,фантастика
depart,вылетать
permit,разрешать
cottage,коттедж
specify,указать
frustrate,разочаровывается
disturbing,тревожный
artifact,артефакт
basin,бассейн
regain,восстановить
grape,виноград
ego,эго
sometime,когда-то
organized,организованный
charm,шарм
sweater,свитер
rim,оборудование
speculate,спекулировать
delight,восторг
fatigue,усталость
devastating,разрушительный
instructional,Учебное пособие
plea,просьба
tourism,туризм
crowd,толпа
warmth,тепло
jurisdiction,юрисдикция
update,Обновить
accusation,обвинение
diagram,диаграмма
middle-class,средний класс
graduation,выпускной
mention,упомянуть
beyond,вне
within,в пределах
spark,искра
convenience,удобство
chill,холод
economically,экономически
undergraduate,бакалавриат
dictate,диктовать
regulator,регулятор
defender,защитник
workout,тренировка
accurately,точно
tile,кафельная плитка
foreigner,иностранец
importantly,важно
citizenship,гражданство
plaza,Плаза
devise,придумать
premium,премиум
chemistry,химия
bureaucracy,бюрократия
inherent,присущий
hazard,опасность
swell,опухать
bride,невеста
bow,лук
processor,процессор
bucket,ведро
timber,древесина
feminist,феминистка
till,пока
tumor,опухоль
apology,извинения
screening,скрининг
arrow,стрелка
marker,маркер
sunny,солнечно
technician,техник
homework,домашнее задание
fog,туман
soak,впитываться
mortality,смертность
flying,летающий
accountability,подотчетность
skilled,квалифицированный
straighten,выпрямить
sprinkle,посыпать
cue,подсказка
epidemic,эпидемия
articulate,артикуляция
rehabilitation,Реабилитация
diplomat,дипломат
ribbon,лента
transit,транзит
militia,милиция
kneel,стоять на коленях
seller,продавец
fatal,фатальный
twist,крутить
compelling,неотразимый
praise,хвалить
copy,копия
well-being,благополучие
laundry,прачечная
screen,экран
confession,признание
twentieth,двадцатый
dense,плотный
accelerate,ускорить
tribute,дань
smoking,курить
aboard,на борту
marble,мрамор
entertain,развлекать
boring,скучный
scrutiny,тщательно
bizarre,странно
bargain,торговаться
deeper,Глубже
drown,тонуть
biography,биография
naval,военно -морской
nationwide,по всей стране
skeptical,скептически
shorts,шорты
lens,объектив
spit,плевать
sexuality,сексуальность
rape,изнасилование
warehouse,склад
paradise,рай
nominate,выдвигать
developed,развитый
campaign,кампания
unfortunate,несчастный
grandchild,внук
tenure,пребывание в должности
preach,проповедовать
slot,слот
stereotype,стереотип
bulb,лампочка
weave,плетение
merger,слияние
inadequate,неадекватный
objective,задача
electronics,Электроника
trim,подрезать
